	Line	Name	Lat/Lon	Order
0	L3	Zona Universitària	41.3841404077719 , 2.11116587365903	1
1	L3	Palau Reial	41.3860211631295 , 2.11859030534594	2
2	L3	Les Corts	41.3841243011195 , 2.13089948651418	4
3	L3	Maria Cristina	41.3878658876322 , 2.12588078854278	3
4	L3	Tarragona	41.3785431899842 , 2.14532511165999	7
5	L3	Plaça del Centre	41.3819459953545 , 2.1358749331136	5
6	L3	Sants Estació	41.381613567591 , 2.14102524477169	6
7	L3	Espanya	41.3750503515188 , 2.15160812165603	8
8	L3	Fontana	41.4020175545979 , 2.15305426943399	16
9	L3	Vallcarca	41.4120164709601 , 2.14432244155947	18
10	L3	Lesseps	41.4057005854403 , 2.15048581458015	17
11	L3	Penitents	41.4183305594342 , 2.14098280337625	19
12	L3	Vall d'Hebrón	41.4252970069324 , 2.14256930175703	20
13	L3	Montbau	41.4306544208465 , 2.14505193131497	21
14	L3	Mundet	41.4357688982928 , 2.14859090896243	22
15	L3	Valldaura	41.4380515005838 , 2.15693039004997	23
16	L3	Poble Sec	41.3750274796757 , 2.16027150654591	9
17	L3	Paral.lel	41.3749237466418 , 2.16913130219717	10
18	L3	Drassanes	41.3765658912591 , 2.17567091764783	11
19	L3	Liceu	41.3814661024195 , 2.1730492173041	12
20	L3	Catalunya	41.3863398586716 , 2.17010507438732	13
21	L3	Passeig de Gràcia	41.3916130953018 , 2.16538461758049	14
22	L3	Diagonal	41.3959157261745 , 2.16007069012956	15
23	L3	Canyelles	41.4417702469479 , 2.16633743592508	24
24	L3	Roquetes	41.4476983787111 , 2.17610978451663	25
25	L3	Trinitat Nova	41.4495315866864 , 2.18411257661403	26
