ID,Street name,City,Lat/Lon,Furniture,Buses
1,Almogàvers-Àvila,BARCELONA,41.3985182 / 2.1917991,Pal,06 40 42 141 B25 N11 
2,Av Icària-Bogatell,BARCELONA,41.3931462 / 2.1990183,Pal,14 41 92 
3,València-Muntaner,BARCELONA,41.3885874 / 2.1579250,Marquesina,20 43 44 63 N7 
4,Mallorca-Aribau,BARCELONA,41.3904986 / 2.1580012,Marquesina,20 43 44 
5,Universitat Central,BARCELONA,41.3871068 / 2.1648890,Pal,54 
6,Pl Universitat-Balmes,BARCELONA,41.3869842 / 2.1647311,Pal,63 
7,Pl Universitat-Aribau,BARCELONA,41.3859484 / 2.1633435,Marquesina (x2),09 50 56 N1 N12 N13 N14 N15 N16 N17 N2 N7 
8,Pl de Carles Buïgas,BARCELONA,41.3712776 / 2.1510007,Pal,13 50 61 
10,Josep Soldevila - Doctor Santponç,BARCELONA,41.4329641 / 2.1946478,Marquesina,11 35 40 B20 B22 N9 
11,Josep Soldevila - Sant Adrià,BARCELONA,41.4343254 / 2.1935467,Marquesina,11 35 40 B20 B22 N9 
12,Llinars-Santander,BARCELONA,41.4347961 / 2.2073378,Pal,42 B22 B23 N8 
13,Sas-Claramunt,BARCELONA,41.4376433 / 2.2041804,Marquesina,42 N8 
15,Via Favència-Almagro,BARCELONA,41.4439513 / 2.1720874,Pal,11 32 60 127 N6 
16,Via Favència-Castor,BARCELONA,41.4427316 / 2.1702312,Pal,60 127 
17,Les Torres-Mina de la Ciutat,BARCELONA,41.4466927 / 2.1716426,Pal,27 
18,Antonio Machado - E  M de Natació,BARCELONA,41.4443360 / 2.1705377,Marquesina,47 
19,Antonio Machado-Ronda Guineueta Vella,BARCELONA,41.4442360 / 2.1701865,Marquesina,31 N6 
20,Antonio Machado - Artesania,BARCELONA,41.4444263 / 2.1708544,Marquesina,27 
21,Av Diagonal-Palau Reial,BARCELONA,41.3856356 / 2.1161664,Marquesina,07 33 67 74 75 113 L14 N12 L79 
22,Av República Argentina-Baixada Blanes,BARCELONA,41.4113925 / 2.1440094,Marquesina,22 28 92 N4 
24,Ronda Guineueta Vella-Barri Canyelles,BARCELONA,41.4443047 / 2.1651998,Marquesina,27 31 47 71 N6 
25,Ronda Guineueta Vella-Col·legi Eugeni d'Ors,BARCELONA,41.4448174 / 2.1678042,Marquesina,27 31 47 71 N6 
26,Ronda Guineueta Vella-Ctra Alta de Roquetes,BARCELONA,41.4437913 / 2.1637408,Marquesina,27 31 47 71 N6 
27,Pont de Marina-Av Meridiana,BARCELONA,41.3954121 / 2.1863350,Pal,06 10 
28,Ciutat Sanitària de la Vall d'Hebron,BARCELONA,41.4269336 / 2.1430259,Marquesina (x2),17 112 119 185 
29,Sant Genís dels Agudells-Natzaret,BARCELONA,41.4292380 / 2.1380833,Pal,76 
30,Sant Genís dels Agudells,BARCELONA,41.4277994 / 2.1300278,Pal,19 
31,Llull-Àlaba,BARCELONA,41.3960621 / 2.1955527,Pal,71 
32,Pl de les Glòries,BARCELONA,41.4028956 / 2.1877830,Pal,N0 N7 
33,Salvador Espriu-Jaume Vicens Vives,BARCELONA,41.3928213 / 2.2022913,Marquesina,36 N6 N8 
34,Av Icària-Frederic Mompou,BARCELONA,41.3931086 / 2.1993987,Pal,14 41 92 
35,Pg. Lluís Companys (Buenavenura Muñoz-Almogàvers),BARCELONA,41.3879170 / 2.1699187,Pal,39 41 51 
36,Pont de Marina-Almogàvers,BARCELONA,41.3952422 / 2.1862163,Pal,06 10 
38,Marina-Ctra de Ribes,BARCELONA,41.3977509 / 2.1829650,Pal,06 
39,Pg de Sant Joan-Alí-Bei,BARCELONA,41.3925383 / 2.1789688,Marquesina,19 51 55 N4 
40,Nàpols-Ausiàs Marc,BARCELONA,41.3951947 / 2.1796409,Pal,54 
41,Av Diagonal-Doctor Fleming,BARCELONA,41.3907517 / 2.1363559,Marquesina,07 33 34 63 67 78 N12 
42,Av Diagonal-L'Illa Diagonal,BARCELONA,41.3896260 / 2.1334840,Marquesina (x2),06 07 33 34 63 67 N12 
43,Pg de la Zona Franca-Grup d' Habitatges SEAT,BARCELONA,41.3598375 / 2.1390510,Marquesina (x2),09 37 72 109 N1 
44,Pg de la Zona Franca-Llobregat,BARCELONA,41.3581041 / 2.1407242,Marquesina,09 37 72 109 N1 
47,Av de Vallcarca-Gustavo Adolfo Bécquer,BARCELONA,41.4162330 / 2.1420101,Pal,27 
48,Palau d'Esports de la Vall d'Hebron,BARCELONA,41.4279612 / 2.1441987,Marquesina,10 27 60 73 76 B16 B19 N4 
49,Pg de la Vall d'Hebron-Arquitectura,BARCELONA,41.4296037 / 2.1442357,Marquesina,27 60 73 76 B16 B19 N4 
50,Urbanització Parc Vall d'Hebron,BARCELONA,41.4292937 / 2.1447866,Marquesina,10 27 60 73 76 B16 B19 N4 
51,Sant Genís dels Agudells-Arquitectura,BARCELONA,41.4294248 / 2.1382998,Pal,19 76 
52,Pg de la Vall d'Hebron-Metro Montbau,BARCELONA,41.4301865 / 2.1445301,Pal,10 
54,Comte d'Urgell-Aragó,BARCELONA,41.3846161 / 2.1555008,Marquesina,20 37 N12 
55,Pg de Gràcia-Aragó,BARCELONA,41.3919198 / 2.1654298,Marquesina,07 16 17 22 24 28 N4 N5 N6 N7 
56,Casanova-Consell de Cent,BARCELONA,41.3860808 / 2.1580507,Pal,14 59 
57,Pg de Sant Joan-València,BARCELONA,41.3980479 / 2.1711382,Marquesina,19 50 51 55 N1 N4 
58,Aribau-Aragó,BARCELONA,41.3879438 / 2.1600097,Marquesina,54 58 63 64 66 67 68 N3 N7 N8 
59,Entença-Consell de Cent,BARCELONA,41.3801252 / 2.1501222,Marquesina,27 N0 
60,Roger de Llúria-Aragó,BARCELONA,41.3939000 / 2.1679410,Marquesina,39 45 47 B20 B24 
61,Independència-Consell de Cent,BARCELONA,41.4063585 / 2.1854460,Pal,92 
62,Dos de Maig-València,BARCELONA,41.4065187 / 2.1818286,Pal,92 
63,Pg de Sant Joan-Aragó,BARCELONA,41.3973544 / 2.1725968,Pal,06 19 50 51 55 N1 N4 
65,Josep Tarradellas-Pl Francesc Macià,BARCELONA,41.3918718 / 2.1438544,Pal,15 27 32 
69,Pg de Sant Gervasi-Roman Macaya,BARCELONA,41.4121254 / 2.1382168,Pal,17 22 73 124 N4 N5 
70,Terré-Pl de Benet XV,BARCELONA,41.4060431 / 2.1206296,Pal,60 
