ID,Name,Line,Lat/Lon,Connections,Type,Zone
21,Fontsanta i Fatjó,T1-T2,41.3602701633887 / 2.06231782329774,,TRAMBAIX,Zona 1
20,Bon Viatge,T1-T2,41.3646427714853 / 2.05883027285289,,TRAMBAIX,Zona 1
22,Les Aigües,T1-T2,41.3567799975011 / 2.06600611840813,,TRAMBAIX,Zona 1
23,Cornellà Centre,T1-T2,41.3573169129495 / 2.06967312836759,L5-R.1-R4,TRAMBAIX,Zona 1
24,Ignasi Iglésias,T1-T2,41.3613569139958 / 2.07276892190294,,TRAMBAIX,Zona 1
19,La Fontsanta,T2,41.3679007086999 / 2.063082294656,,TRAMBAIX,Zona 1
18,Centre Miquel Martí i Pol,T2,41.3687284566583 / 2.07132883760428,,TRAMBAIX,Zona 1
25,El Pedró,T1-T2,41.3654342916373 / 2.07676925416326,,TRAMBAIX,Zona 1
17,Llevant-Les Planes,T2,41.371016220546 / 2.07616093808326,,TRAMBAIX,Zona 1
26,Montesa,T1-T2-T3,41.3696139040304 / 2.08086981278302,,TRAMBAIX,Zona 1
16,Hospital Sant Joan Despí | TV3,T3,41.3723391899373 / 2.07580611668373,,TRAMBAIX,Zona 1
27,La Sardana,T1-T2-T3,41.3727247041924 / 2.08392213029834,,TRAMBAIX,Zona 1
28,Pont d'Esplugues,T1-T2-T3,41.3767926012985 / 2.08850907950424,,TRAMBAIX,Zona 1
29,Can Clota,T1-T2-T3,41.3769753769181 / 2.09367193246044,,TRAMBAIX,Zona 1
55,Sant Feliu | Consell Comarcal,T3,41.3795850237938 / 2.05268675136945,,TRAMBAIX,Zona 1
40,Torreblanca,T3,41.3797845985049 / 2.06069211974912,,TRAMBAIX,Zona 1
41,Walden,T3,41.3797331039552 / 2.06704907259576,,TRAMBAIX,Zona 1
42,Rambla de Sant Just,T3,41.3788403536607 / 2.07522510789372,,TRAMBAIX,Zona 1
30,Can n'Oliveres,T1-T2-T3,41.3766500553622 / 2.09828528935288,,TRAMBAIX,Zona 1
31,Can Rigal,T1-T2-T3,41.3761025293673 / 2.10609197002068,,TRAMBAIX,Zona 1
57,Ernest Lluch,T1-T2-T3,41.3767026998859 / 2.11084261591932,,TRAMBAIX,Zona 1
32,Avinguda de Xile,T1-T2-T3,41.3806754902035 / 2.11479729860436,,TRAMBAIX,Zona 1
33,Zona Universitària,T1-T2-T3,41.3842044554882 / 2.11449065372833,L3,TRAMBAIX,Zona 1
34,Palau Reial,T1-T2-T3,41.3859950478969 / 2.11861755590232,L3,TRAMBAIX,Zona 1
35,Pius XII,T1-T2-T3,41.3867212978738 / 2.12148246924578,,TRAMBAIX,Zona 1
36,Maria Cristina,T1-T2-T3,41.3879646699666 / 2.12638568304569,L3,TRAMBAIX,Zona 1
37,Numància,T1-T2-T3,41.3893437380252 / 2.1318359632411,,TRAMBAIX,Zona 1
38,L'Illa,T1-T2-T3,41.3905049686833 / 2.13640433318727,,TRAMBAIX,Zona 1
39,Francesc Macià,T1-T2-T3,41.3921819382415 / 2.1429899578455,,TRAMBAIX,Zona 1
4,Marina,T4,41.3939821425228 / 2.18687783955788,L1,TRAMBESÒS,Zona 1
5,Auditori | Teatre Nacional,T4,41.3974678467679 / 2.18689347916676,,TRAMBESÒS,Zona 1
2,Ciutadella | Vila Olímpica,T4,41.3875861222237 / 2.19202375520085,L4,TRAMBESÒS,Zona 1
3,Wellington,T4,41.3902522809999 / 2.18849876956405,,TRAMBESÒS,Zona 1
15,Glòries,T4-T5,41.4016956114457 / 2.18691287534046,L1,TRAMBESÒS,Zona 1
53,La Farinera,T5,41.4037827695728 / 2.18832202776882,,TRAMBESÒS,Zona 1
14,Ca l'Aranyó,T4,41.404422411394 / 2.19129145611927,,TRAMBESÒS,Zona 1
54,Can Jaumandreu,T5,41.4077813674524 / 2.19313333596197,,TRAMBESÒS,Zona 1
13,Pere IV,T4,41.4061358906449 / 2.19812707436525,,TRAMBESÒS,Zona 1
12,Fluvià,T4,41.4078078590492 / 2.20479899638345,,TRAMBESÒS,Zona 1
43,Espronceda,T5,41.4114396191256 / 2.19795940120491,,TRAMBESÒS,Zona 1
11,Selva de Mar,T4,41.4091992878307 / 2.21035287119043,L4,TRAMBESÒS,Zona 1
44,Sant Martí de Provençals,T5,41.4153361658307 / 2.20324268873208,,TRAMBESÒS,Zona 1
10,El Maresme,T4,41.4105620185959 / 2.21579346234101,L4,TRAMBESÒS,Zona 1
9,Fòrum,T4,41.4119528755077 / 2.21994703731682,L4,TRAMBESÒS,Zona 1
46,Alfons el Magnànim,T5,41.417295577421 / 2.21347520456112,,TRAMBESÒS,Zona 1
8,Can Llima,T4,41.4153247598517 / 2.22298996859334,,TRAMBESÒS,Zona 1
56,La Mina,T6,41.418651111406 / 2.22274993877984,,TRAMBESÒS,Zona 1
45,Besòs,T5,41.4200509841933 / 2.20946506199739,L4,TRAMBESÒS,Zona 1
47,Parc del Besòs,T5,41.4193521921015 / 2.21751032970247,,TRAMBESÒS,Zona 1
7,Central Tèrmica del Besòs,T4-T6,41.4189761548633 / 2.22624782117548,,TRAMBESÒS,Zona 1
48,La Catalana,T5-T6,41.4226073186697 / 2.2218633113181,,TRAMBESÒS,Zona 1
49,Sant Joan Baptista,T5-T6,41.4274859983148 / 2.22530887632893,,TRAMBESÒS,Zona 1
6,Estació de Sant Adrià,T4-T6,41.424092262059 / 2.23065496122408,R.1,TRAMBESÒS,Zona 1
50,Encants de Sant Adrià,T5-T6,41.4304584678793 / 2.22290444983689,,TRAMBESÒS,Zona 1
51,Sant Roc,T5-T6,41.4349739717875 / 2.22778764587606,L2,TRAMBESÒS,Zona 1
52,Gorg,T5-T6,41.4392645004098 / 2.23264400671318,L2-L10,TRAMBESÒS,Zona 1
