district,id,mean-price(€),mean-size(m^2),mean-price-size(€/m^2)
01,01,1283.7,69.637,19.614
01,02,1816.102,89.355,21.05
01,03,1181.456,50.228,24.215
01,04,1181.456,50.228,24.215
02,05,1668.226,95.247,18.86
02,06,1421.754,77.453,19.51
02,07,2374.306,113.375,22.37
02,08,1802.48,94.453,20.651
02,09,1521.596,89.634,17.823
02,10,1521.596,89.634,17.823
03,11,1224.469,68.161,18.594
03,12,950.0,90.0,10.556
03,13,977.794,75.059,13.196
03,14,1378.545,81.409,16.895
03,15,1148.978,70.239,16.791
03,16,1189.375,74.275,16.79
03,17,1069.026,68.065,16.657
03,18,1182.161,73.161,17.093
04,19,1808.117,106.269,17.658
04,20,1496.073,109.082,14.217
04,21,4559.308,236.776,19.005
05,22,3745.6,283.48,13.367
05,23,2445.137,134.056,20.306
05,24,2968.889,160.235,19.051
05,25,3154.954,184.908,18.384
05,26,2749.114,144.198,19.27
05,27,1506.086,93.889,16.794
06,28,1830.392,119.371,16.728
06,29,1241.5,95.0,13.877
06,30,1508.111,103.978,15.62
06,31,1716.687,92.143,20.471
06,32,1357.33,86.193,17.186
07,33,1158.488,81.465,15.109
07,34,1255.862,85.069,15.714
07,35,1189.032,88.419,14.652
07,36,1412.714,137.171,12.436
07,37,976.316,75.263,13.748
07,38,875.217,83.609,11.408
07,39,1550.75,111.5,13.091
07,40,1550.75,111.5,13.091
07,41,1023.529,84.0,12.442
07,42,1023.529,84.0,12.442
07,43,1056.304,86.609,12.732
08,44,926.765,75.608,12.614
08,45,1011.111,81.556,12.523
08,46,897.812,66.375,14.161
08,47,897.812,66.375,14.161
08,48,907.857,82.5,11.252
08,49,811.538,58.692,15.269
08,50,811.538,58.692,15.269
08,51,958.75,78.333,14.134
08,52,817.273,66.0,12.449
08,53,687.5,55.5,12.449
08,54,1036.429,106.571,10.054
08,55,1036.429,106.571,10.054
08,56,1036.429,106.571,10.054
09,57,863.214,82.143,11.272
09,58,nan,nan,nan
09,59,921.154,76.692,13.034
09,60,1634.239,82.783,15.035
09,61,1123.784,92.216,13.767
09,62,1185.0,75.0,15.276
09,63,1210.125,86.275,14.631
10,64,1319.745,76.314,17.967
10,65,1110.556,68.0,16.679
10,66,1614.222,94.937,17.865
10,67,2000.0,108.514,19.575
10,68,1873.994,88.11,21.635
10,69,3405.149,120.821,26.717
10,70,1712.5,89.9,18.439
10,71,1344.18,84.115,16.377
10,72,1390.938,93.438,14.616
10,73,915.833,72.333,13.0
