ID,PRICE(€),SIZE(m^2)
38804769,995,86
38777941,1100,75
38802365,1600,80
37861488,1550,87
38801610,1000,94
38801545,1200,50
38801191,880,55
38797690,1390,100
38797049,2200,120
38789614,2200,110
38785528,2400,178
38785006,1100,65
38781542,2400,170
38778809,1100,70
38775347,2300,177
38775031,1200,86
38763470,1390,97
38771304,1000,75
38771189,1100,65
30624849,900,50
38770347,900,70
38769819,800,45
34329840,1380,51
38739171,1600,105
38760166,1600,94
38732064,1500,130
38350969,1800,110
38772871,1600,170
38761362,1200,55
38745869,1600,172
38382742,1936,122
37580591,1350,95
38761414,1850,92
38607414,1600,101
38533716,1600,170
38650535,1300,75
38655315,1900,102
38392979,1200,85
38703392,1000,60
38546558,1360,170
38486906,2700,72
38285579,1690,90
38548012,1600,170
26630182,1600,140
37880418,1300,60
33748878,3250,90
38555149,1150,50
38547425,4400,200
27955509,1500,90
25076985,3500,80
25076956,3500,80
25076930,3500,80
38384263,1400,105
38691375,2400,170
38656538,1750,151
38678918,1000,65
38643140,1200,78
38762721,1250,90
27911419,1250,85
38757514,1000,60
38738614,1700,60
38729854,1850,180
38534711,2300,95
38280415,1500,100
33911185,1600,100
37440017,1600,140
37404886,1600,140
38656701,2500,175
38630640,1800,81
38168365,2000,45
38758253,1600,80
930357,780,57
34384931,1750,85
38695974,1000,62
37460051,1300,85
947250,900,45
38069934,1700,75
38678864,1700,68
38542733,1500,80
30007763,3500,80
30007425,3500,80
38762428,1150,95
33028661,900,45
38392421,1350,106
38349000,1550,106
25077140,3500,80
25077025,3500,80
25076912,3500,80
38609481,1300,70
38515876,1500,90
38374973,950,45
31653697,3500,80
31653581,3500,80
29835045,3500,80
29835001,3500,80
35329186,1100,60
38665655,1850,68
38451799,1800,128
37747314,980,65
37441675,1150,125
38693539,1500,76
38693552,2400,160
756573,900,45
38575189,1400,88
38557716,1600,160
38184736,1250,100
38759329,1300,100
38732180,1300,113
38385825,4400,200
34397995,1360,45
37598938,980,80
37856080,1600,140
37503411,1750,90
37424918,1600,150
38620616,1800,80
38557142,2300,185
38459705,2300,195
37849612,1500,106
38674253,1600,105
38641828,795,50
38390994,1350,60
37945530,2100,122
38654292,950,65
38547998,2300,177
37189781,2000,160
38517477,1900,144
38500947,1600,90
30826700,1245,100
38692010,1850,68
36654908,1600,74
35046471,2000,70
37743787,900,65
38702440,3000,130
38093853,1100,71
38171532,1600,110
38373978,1050,80
32156390,1100,55
38752715,595,20
38538915,770,77
