district,neightborhood,mean-price(€),mean-size(m^2),mean-price-size(€/m^2)
1,1,311920.2722891566,72.68192771084337,4472.104354273218
1,2,709412.5720338983,130.0593220338983,5455.211760532794
1,3,317639.4557823129,58.74829931972789,5427.2763571733785
1,4,317639.4557823129,58.74829931972789,5427.2763571733785
2,5,437850.2873563218,100.43103448275862,4392.776563143957
2,6,414174.5966029724,92.42887473460722,4606.855480702026
2,7,1071055.0,143.40387096774194,7269.661860211792
2,8,641464.1149425288,118.36551724137931,5498.134574391937
2,9,460702.97297297296,95.92383292383292,4870.274608323102
2,10,460702.97297297296,95.92383292383292,4870.274608323102
3,11,320927.4028169014,75.05352112676056,4361.869791502504
3,12,161750.0,79.5,2031.5321342144453
3,13,244717.39130434784,83.03623188405797,2937.290480913781
3,14,369746.65,102.68333333333334,3687.3115556390067
3,15,322754.2774566474,79.52023121387283,4530.808744458591
3,16,279974.9761904762,84.03571428571429,3388.233527712754
3,17,282456.3357142857,85.77142857142857,3564.0327461581937
3,18,343149.29545454547,91.48863636363636,3898.098080042577
4,19,714090.4255319149,130.72340425531914,5418.431067178955
4,20,554792.4105263158,117.60526315789474,4580.920920698362
4,21,2626301.8018018017,404.5810810810811,7372.011371229981
5,22,1259661.888888889,374.359477124183,3500.485188077065
5,23,1495179.5703125,241.6796875,6432.766802694354
5,24,1363077.9220779222,231.38311688311688,6133.297911615899
5,25,1605466.8185053382,275.9110320284698,5752.104388571147
5,26,1271203.8084415584,221.5633116883117,5760.74915864326
5,27,818301.9161073825,177.0704697986577,4649.112167432974
6,28,692484.3165467626,190.01438848920864,3871.5156758813105
6,29,382240.0,112.87142857142857,3523.233103962603
6,30,573014.1724137932,138.632183908046,4280.588536489852
6,31,489282.7150537634,97.71236559139786,5040.765255799759
6,32,389500.7924528302,86.99245283018868,4633.062388328319
7,33,318380.8176100629,85.75471698113208,3750.3481291834464
7,34,325030.51948051946,109.31168831168831,3141.4035270840445
7,35,308707.8212290503,95.56983240223464,3345.3036427720726
7,36,555371.264367816,186.58620689655172,3250.2070412371954
7,37,203949.0,79.6,2616.055900661435
7,38,240696.80722891566,100.5421686746988,2565.0160071127925
7,39,350969.7916666667,284.5208333333333,2774.1002463908226
7,40,350969.7916666667,284.5208333333333,2774.1002463908226
7,41,305500.0,89.4,3443.0020913938215
7,42,305500.0,89.4,3443.0020913938215
7,43,326713.8888888889,98.6984126984127,3261.7631462181394
8,44,278215.873015873,100.06349206349206,2930.87815626954
8,45,202470.5128205128,75.3974358974359,2703.283936291673
8,46,168993.18181818182,69.68181818181819,2408.7574770114766
8,47,168993.18181818182,69.68181818181819,2408.7574770114766
8,48,235412.5,87.5,2688.3997607176293
8,49,146890.34188034188,75.98290598290598,2000.8591716551298
8,50,146890.34188034188,75.98290598290598,2000.8591716551298
8,51,188892.7108433735,79.12048192771084,2444.912409024413
8,52,195365.6626506024,77.67469879518072,2479.964509045007
8,53,125538.46153846153,64.73076923076923,1920.0847286437624
8,54,123025.9014084507,79.46478873239437,1558.6046168384423
8,55,123025.9014084507,79.46478873239437,1558.6046168384423
8,56,123025.9014084507,79.46478873239437,1558.6046168384423
9,57,180066.02040816325,93.20408163265306,1943.049529627985
9,58,136000.0,78.4,1753.4453781512607
9,59,182424.5283018868,85.71698113207547,2185.294436178778
9,60,317935.6076923077,102.35,3265.97070991749
9,61,303342.55319148937,90.81560283687944,3342.225808356443
9,62,243027.1739130435,81.54347826086956,2999.3824306576244
9,63,328202.7083333333,128.39583333333334,3330.1444863266083
10,64,355170.1960784314,100.27843137254902,3685.0586028650614
10,65,425152.77777777775,117.38888888888889,3716.9488229214676
10,66,443976.275,104.48333333333333,4420.06698553376
10,67,716050.6329113924,122.13924050632912,5880.8500942382225
10,68,418382.85365853657,89.28353658536585,4710.758478066441
10,69,939936.9513108614,112.0374531835206,7747.101851693468
10,70,388804.9166666667,96.92460317460318,3691.9283290345434
10,71,347262.7586206897,97.46206896551725,3587.377196132349
10,72,250237.3831775701,84.66355140186916,2932.4710653832344
10,73,219391.65071770336,80.04784688995215,2833.198498884139
