ID,PRICE(€),SIZE(m^2)
38465496,69000,68
38728658,165000,60
38742299,335000,75
38726238,217000,70
38480816,220000,72
37975110,220000,72
37590896,220000,70
38793559,165000,60
38797624,165000,60
38767136,165000,60
38788486,165000,61
38774904,165000,60
38574532,128000,62
38776186,119000,55
38760122,165000,60
38788637,120000,40
38748951,165000,60
38739936,165000,60
38735993,165000,60
37279224,380000,156
38772522,165000,60
38726542,165000,60
38664496,219900,71
38726505,90000,65
38699348,165000,55
38732507,139000,40
38312475,215000,95
38776384,258000,95
38574492,225000,75
38545504,320000,95
37906975,278000,110
38551036,165000,60
38561173,375000,100
38520720,129000,40
38181077,240000,63
38744514,200000,80
37652853,129000,40
38743320,270000,110
38713097,165000,60
38330204,179000,180
38303631,140000,55
37789433,279000,110
38576040,239000,70
38422616,162000,70
38370410,270000,155
34888401,569900,110
38617270,168000,75
38448160,128000,62
38333681,339000,85
38094712,170000,55
37361309,380000,139
38762119,98000,50
38507303,339000,85
38648105,285900,86
38511642,168000,78
38388258,128000,58
37466076,169000,60
37349853,200000,60
35194282,149000,57
37992322,72500,69
36650173,270000,110
38299399,395000,95
38115383,255000,80
26209976,260000,110
38656817,99000,60
38535433,275000,87
36022526,69000,65
38245476,270000,140
36925066,170000,65
303187,175000,60
37175122,275000,78
36129412,46000,47
37505403,174000,63
37773678,270000,110
37500910,82500,47
37935912,115000,50
38434784,128000,58
26113132,240000,72
