ID,PRICE(€),SIZE(m^2)
38778457,1100,66
38476642,1600,97
38777759,765,45
38559458,900,45
38776418,1250,71
38775095,1300,75
38773320,1000,70
38771885,1000,70
38469533,875,85
38712990,1000,67
32897413,1375,100
37931423,900,65
38153797,1100,65
33085324,825,72
38108980,1300,50
38744112,1100,82
38534537,900,70
38617675,790,68
38556456,875,70
38151087,1100,90
38153449,1100,65
38677705,1200,120
38676813,1800,98
25483123,1100,80
38171320,1000,90
35283802,1200,60
38664723,1350,119
38267822,1440,95
38151897,1000,95
35283855,1200,50
