District,Neighborhood,Idealista-path
1,1,ciutat-vella/el-raval/
1,2,ciutat-vella/el-gotic/
1,3,ciutat-vella/la-barceloneta/
1,4,ciutat-vella/la-barceloneta/
2,5,eixample/el-fort-pienc/
2,6,eixample/la-sagrada-familia/
2,7,eixample/la-dreta-de-l-eixample/
2,8,eixample/l-antiga-esquerra-de-l-eixample/
2,9,eixample/la-nova-esquerra-de-l-eixample/
2,10,eixample/la-nova-esquerra-de-l-eixample/
3,11,sants-montjuic/el-poble-sec-parc-de-montjuic/
3,12,sants-montjuic/la-marina-del-prat-vermell/
3,13,sants-montjuic/la-marina-del-port/
3,14,sants-montjuic/la-font-de-la-guatlla/
3,15,sants-montjuic/hostafrancs/
3,16,sants-montjuic/la-bordeta/
3,17,sants-montjuic/sants-badal/
3,18,sants-montjuic/sants/
4,19,les-corts/les-corts/
4,20,les-corts/la-maternitat-i-sant-ramon/
4,21,les-corts/pedralbes/
5,22,sarria-sant-gervasi/vallvidrera-el-tibidabo-i-les-planes/
5,23,sarria-sant-gervasi/sarria/
5,24,sarria-sant-gervasi/les-tres-torres/
5,25,sarria-sant-gervasi/sant-gervasi-la-bonanova/
5,26,sarria-sant-gervasi/sant-gervasi-galvany/
5,27,sarria-sant-gervasi/el-putxet-i-el-farro/
6,28,gracia/vallcarca-i-els-penitents/
6,29,gracia/el-coll/
6,30,gracia/la-salut/
6,31,gracia/vila-de-gracia/
6,32,gracia/el-camp-d-en-grassot-i-gracia-nova/
7,33,horta-guinardo/el-baix-guinardo/
7,34,horta-guinardo/can-baro/
7,35,horta-guinardo/el-guinardo/
7,36,horta-guinardo/la-font-d-en-fargues/
7,37,horta-guinardo/el-carmel/
7,38,horta-guinardo/la-teixonera/
7,39,horta-guinardo/sant-genis-dels-agudells-montbau/
7,40,horta-guinardo/sant-genis-dels-agudells-montbau/
7,41,horta-guinardo/la-vall-d-hebron-la-clota/
7,42,horta-guinardo/la-vall-d-hebron-la-clota/
7,43,horta-guinardo/horta/
8,44,nou-barris/vilapicina-i-la-torre-llobeta/
8,45,nou-barris/porta/
8,46,nou-barris/can-peguera-el-turo-de-la-peira/
8,47,nou-barris/can-peguera-el-turo-de-la-peira/
8,48,nou-barris/la-guineueta/
8,49,nou-barris/les-roquetes-canyelles/
8,50,nou-barris/les-roquetes-canyelles/
8,51,nou-barris/verdun/
8,52,nou-barris/la-prosperitat/
8,53,nou-barris/la-trinitat-nova/
8,54,nou-barris/ciutat-meridiana-torre-baro-vallbona/
8,55,nou-barris/ciutat-meridiana-torre-baro-vallbona/
8,56,nou-barris/ciutat-meridiana-torre-baro-vallbona/
9,57,sant-andreu/la-trinitat-vella/
9,58,sant-andreu/baro-de-viver/
9,59,sant-andreu/el-bon-pastor/
9,60,sant-andreu/sant-andreu/
9,61,sant-andreu/la-sagrera/
9,62,sant-andreu/el-congres-i-els-indians/
9,63,sant-andreu/navas/
10,64,sant-marti/el-camp-de-l-arpa-del-clot/
10,65,sant-marti/el-clot/
10,66,sant-marti/el-parc-i-la-llacuna-del-poblenou/
10,67,sant-marti/la-vila-olimpica-del-poblenou/
10,68,sant-marti/el-poblenou/
10,69,sant-marti/diagonal-mar-i-el-front-maritim-del-poblenou/
10,70,sant-marti/el-besos/
10,71,sant-marti/provencals-del-poblenou/
10,72,sant-marti/sant-marti-de-provencals/
10,73,sant-marti/la-verneda-i-la-pau/
