ID,Name,Lat / Lon,Nearby stations
1,"Gran Via Corts Catalanes, 760",41.397952 / 2.180042,24 369 387 424 
10,"Pl. Comercial, 11",41.385531 / 2.183527,7 14 115 405 
100,"Tarragona, 159",41.379135 / 2.14409,97 98 99 384 
101,"Av. Pau Casals, 1",41.392988 / 2.143562,74 102 319 366 
102,"Av. Pau Casals, 3",41.393093 / 2.143365,74 102 319 366 
103,"Aragó, 629",41.409856 / 2.188217,26 104 127 132 
104,"C/València, 621",41.410821 / 2.187365,26 103 127 177 
105,"PL. Urquinaona, 9",41.389069 / 2.173424,65 359 363 
106,"Pl. Joanic, 59",41.405587 / 2.162317,108 122 226 231 
107,"Travessera de Gracia, 92",41.398298 / 2.153128,68 219 220 223 
108,"Indústria, 10",41.402314 / 2.164961,29 122 224 226 
109,"C/ Londres, 53",41.390981 / 2.14737,89 101 350 365 
11,"Trelawny, 2",41.381689 / 2.193914,116 124 125 396 
110,"Avda. Roma, 117",41.385554 / 2.154813,83 84 209 385 
111,"Calabria, 135",41.381096 / 2.153087,81 82 83 262 
112,"Floridablanca, 49",41.377644 / 2.15725,82 91 113 386 
113,"Comte Borrell, 60",41.378836 / 2.160801,70 91 112 373 
114,"Pl. Jean Genet, 1",41.376801 / 2.173039,50 54 56 425 
115,"Marquès d'Argentera, 1",41.383275 / 2.183704,10 14 37 401 
116,"Salvat Papasseit, 72",41.383718 / 2.191414,11 13 38 39 
117,"Rosa Sensat, 9",41.390666 / 2.197024,46 49 163 396 
118,"Pujades, 1",41.391884 / 2.187302,7 8 45 149 
119,"Ausiàs March, 122",41.396632 / 2.182802,3 372 387 426 
12,"pg marítim barceloneta, 23",41.384538 / 2.195679,11 13 116 396 
120,"Lepant, 278",41.404666 / 2.176515,18 22 121 370 
121,"Castillejos, 258",41.406293 / 2.178689,18 26 120 371 
122,"Nàpols, 344",41.405435 / 2.16624,19 106 108 277 
123,"Girona, 126",41.397411 / 2.167798,27 189 224 362 
124,"Atlantida, 82",41.377131 / 2.190857,31 33 41 424 
125,"Passeig Maritim, 31",41.384426 / 2.195595,12 13 69 398 
126,Passeig de Colom,41.380641 / 2.182243,37 115 377 402 
127,"Aragó, 661",41.412322 / 2.19142,103 104 128 238 
128,"Rambla Guipúscoa, 43",41.415581 / 2.19581,127 129 135 339 
129,"Rambla Guipúscoa, 67",41.417341 / 2.198102,128 130 137 339 
13,"Avinguda Litoral, 16",41.386861 / 2.195761,6 11 12 69 
130,"Rambla Guipúscoa, 103",41.419905 / 2.201573,129 131 139 339 
131,"Rambla Guipúscoa, 158",41.422808 / 2.206036,130 139 140 317 
132,Pl. Valentí Amirall,41.408439 / 2.192173,42 103 133 141 
133,"Gran Vía, 2",41.407411 / 2.192819,42 43 132 141 
134,"Gran Via, 990",41.411315 / 2.198126,135 136 141 145 
135,"Gran Vía, 981",41.411908 / 2.197936,134 136 137 141 
136,"Gran Vía, 1062",41.414226 / 2.201734,134 137 138 146 
137,"Gran Vía, 1041/ Selva de Mar",41.414758 / 2.201538,129 136 138 146 
138,"Gran Vía, 1118",41.416966 / 2.205397,137 139 140 147 
139,"Gran Vía, 1131",41.418035 / 2.206023,131 138 140 147 
