ID,Name,Line,Lat/Lon,Connections,Accessibility,Zone
264,Lleida-Pirineus,LLEIDA-LA POBLA,41.6206570265921 / 0.633413111246983,R12-R13-R14-TGV,,No integrat
218,Alcoletge,LLEIDA-LA POBLA,41.6543330342311 / 0.685753165603946,,,No integrat
217,Vilanova de la Barca,LLEIDA-LA POBLA,41.6873358683281 / 0.727968757501321,,,No integrat
216,Tèrmens,LLEIDA-LA POBLA,41.7165081704579 / 0.763068426973408,,,No integrat
215,Vallfogona de Balaguer,LLEIDA-LA POBLA,41.7557860046401 / 0.805582190065212,,,No integrat
214,Balaguer,LLEIDA-LA POBLA,41.7892611070758 / 0.814848722862943,,,No integrat
213,Gerb,LLEIDA-LA POBLA,41.8232790516307 / 0.81211112483734,,,No integrat
212,Sant Llorenç de Montgai,LLEIDA-LA POBLA,41.8664332634197 / 0.832769068267674,,,No integrat
272,Vilanova de la Sal,LLEIDA-LA POBLA,41.9114028235415 / 0.830308752894689,,,No integrat
211,Santa Linya,LLEIDA-LA POBLA,41.9318213281516 / 0.852526544320508,,,No integrat
210,Àger,LLEIDA-LA POBLA,42.006886922953 / 0.852095973468258,,,No integrat
209,Cellers-Llimiana,LLEIDA-LA POBLA,42.0586450113401 / 0.882730261701477,,,No integrat
208,Guàrdia de Tremp,LLEIDA-LA POBLA,42.1014202344463 / 0.888026339524417,,,No integrat
226,Ribes-Vila,CREMALLERA DE NÚRIA,42.3086535478156 / 2.17177756260823,,Adaptada,No integrat
207,Palau de Noguera-Talam,LLEIDA-LA POBLA,42.1469934517938 / 0.892520873793013,,,No integrat
206,Tremp,LLEIDA-LA POBLA,42.1674615899467 / 0.891035166639359,ESTACIO_BUS,,No integrat
205,Salàs de Pallars,LLEIDA-LA POBLA,42.2069075763645 / 0.940570028671895,,,No integrat
204,La Pobla de Segur,LLEIDA-LA POBLA,42.2400668796634 / 0.966301852453607,,,No integrat
172,Capellades,LLOBREGAT-ANOIA,41.5215895264564 / 1.69520991102405,,Adaptada,Zona 5
170,Vilanova del Camí,LLOBREGAT-ANOIA,41.5733483786899 / 1.64203422097022,,Adaptada,Zona 6
169,Igualada,LLOBREGAT-ANOIA,41.5777931654252 / 1.63049288200703,ESTACIO_BUS,Adaptada,Zona 6
171,La Pobla de Claramunt,LLOBREGAT-ANOIA,41.5546442243259 / 1.67794811770448,,Adaptada,Zona 5
173,Vallbona d'Anoia,LLOBREGAT-ANOIA,41.5203045240155 / 1.70902859332749,,Adaptada,Zona 5
174,Piera,LLOBREGAT-ANOIA,41.5259519121511 / 1.75454349083111,,Adaptada,Zona 4
265,Súria,MERCADERIES,41.820320751362 / 1.76184777602357,,,
233,Gelida-Superior,FUNICULAR DE GELIDA,41.4406159737789 / 1.8646011048404,,Adaptada,No integrat
232,Gelida-Baixador,FUNICULAR DE GELIDA,41.4418908737647 / 1.86462051199013,,Adaptada,No integrat
231,Gelida-Inferior,FUNICULAR DE GELIDA,41.448181423044 / 1.86475381747978,R4,Adaptada,No integrat
190,Martorell-Vila,LLOBREGAT-ANOIA,41.4759089757314 / 1.93894619548124,,Adaptada,Zona 2
188,El Palau,LLOBREGAT-ANOIA,41.4554748189213 / 1.9628753651155,,Adaptada,Zona 2
189,Sant Andreu de la Barca,LLOBREGAT-ANOIA,41.446506630433 / 1.97368221546936,,Adaptada,Zona 2
168,Masquefa,LLOBREGAT-ANOIA,41.5029680375881 / 1.8125490089685,,Adaptada,Zona 4
184,Can Parellada,LLOBREGAT-ANOIA,41.5022819274839 / 1.83070906795134,,Adaptada,Zona 4
185,La Beguda,LLOBREGAT-ANOIA,41.5017999087059 / 1.83880330384941,,Adaptada,Zona 4
177,Sant Esteve de Sesrovires,LLOBREGAT-ANOIA,41.4977241843122 / 1.87246559785464,,Adaptada,Zona 3
244,Esparreguera,AERI OLESA DE MONTSERRAT-ESPARREGUERA,41.5341855057126 / 1.87993481472881,R5-S4,Adaptada,Zona 3
243,Olesa de Montserrat,AERI OLESA DE MONTSERRAT-ESPARREGUERA,41.5403498759648 / 1.88883364555469,R5-S4,Adaptada,Zona 3
186,Olesa de Montserrat,LLOBREGAT-ANOIA,41.541068492178 / 1.88860815388227,AERI OLESA DE MONTSERRAT-ESPARREGUERA,Adaptada,Zona 3
238,Sant Joan,FUNICULAR DE SANT JOAN,41.5887935044714 / 1.83330781551155,,Projecte,No integrat
237,Montserrat-Monestir,FUNICULAR DE SANT JOAN,41.5919444958942 / 1.83629689178451,FUNICULAR DE SANTA COVA-CREMALLERA DE MONTSERRAT,Projecte,No integrat
239,Montserrat,FUNICULAR DE SANTA COVA,41.5923062701211 / 1.8368042624778,FUNICULAR DE SANT JOAN-CREMALLERA DE MONTSERRAT,Projecte,No integrat
228,Montserrat,CREMALLERA DE MONTSERRAT,41.5924892430543 / 1.83664414196852,FUNICULAR DE SANTA COVA-FUNICULAR DE SANT JOAN,Adaptada,No integrat
241,Montserrat-Monestir,AERI DE MONTSERRAT,41.5929427636694 / 1.83846002279942,,Projecte,No integrat
240,Santa Cova,FUNICULAR DE SANTA COVA,41.5924640493984 / 1.83945570756977,,Projecte,No integrat
242,Montserrat-Aeri,AERI DE MONTSERRAT,41.5908225410287 / 1.85313075504561,R5,Adaptada,No integrat
183,Montserrat-Aeri,LLOBREGAT-ANOIA,41.5912236475629 / 1.85336828848464,AERI DE MONTSERRAT,Adaptada,Zona 4
270,Seat,MERCADERIES,41.4890855505316 / 1.90377973076282,,,
175,Martorell-Enllaç,LLOBREGAT-ANOIA,41.4843427917055 / 1.91818697394508,,Adaptada,Zona 3
256,Martorell-Central,LLOBREGAT-ANOIA,41.4794525612958 / 1.92600909773248,R4-R7,Adaptada,Zona 3
269,Solvay,MERCADERIES,41.492442747631 / 1.92047644562872,,,
285,Abrera,LLOBREGAT-ANOIA,41.5225669115651 / 1.90684577444895,,Adaptada,Zona 3
195,Colònia Güell,LLOBREGAT-ANOIA,41.3639415694794 / 2.03179557070332,,Adaptada,Zona 2
196,Molí Nou-Ciutat Cooperativa,LLOBREGAT-ANOIA,41.3575677817563 / 2.03528684348209,,Adaptada,Zona 1
167,Santa Coloma de Cervelló,LLOBREGAT-ANOIA,41.3706665396867 / 2.02350985366206,,Adaptada,Zona 2
166,Sant Vicenç dels Horts,LLOBREGAT-ANOIA,41.3881251106084 / 2.01239721264388,,Adaptada,Zona 2
191,Quatre Camins,LLOBREGAT-ANOIA,41.4066521041774 / 2.00159278809903,,Adaptada,Zona 2
192,Can Ros,LLOBREGAT-ANOIA,41.3987289807648 / 2.00545737429287,,Adaptada,Zona 2
273,Sant Boi,MERCADERIES,41.3485360571047 / 2.04292887034356,,,
197,Sant Boi,LLOBREGAT-ANOIA,41.3485360571047 / 2.04292887034356,,Adaptada,Zona 1
194,Cornellà-Riera,LLOBREGAT-ANOIA,41.3514926509947 / 2.07128197655476,,Adaptada,Zona 1
198,Almeda,LLOBREGAT-ANOIA,41.3530804999742 / 2.08529407091393,,Adaptada,Zona 1
247,Palleja,LLOBREGAT-ANOIA,41.420825283412 / 1.99565260765602,,Adaptada,Zona 2
164,La Floresta,BARCELONA-VALLÈS,41.4450831967326 / 2.07333557935534,,Adaptada,Zona 2
162,Hospital General,BARCELONA-VALLÈS,41.4762480253981 / 2.04679689964692,,Adaptada,Zona 2
163,Mira-sol,BARCELONA-VALLÈS,41.4693530715732 / 2.06145756559113,,Adaptada,Zona 2
143,Valldoreix,BARCELONA-VALLÈS,41.457990156438 / 2.06838419708082,,Adaptada,Zona 2
142,Sant Cugat,BARCELONA-VALLÈS,41.4679255020337 / 2.07825817087238,,Adaptada,Zona 2
199,L'Hospitalet-Av.Carrilet,LLOBREGAT-ANOIA,41.357946155445 / 2.10274386449438,L1,Adaptada,Zona 1
200,Sant Josep,LLOBREGAT-ANOIA,41.3607150361632 / 2.10994757096666,,Adaptada,Zona 1
193,Gornal,LLOBREGAT-ANOIA,41.3548968199593 / 2.11744088561598,R2-R.2N-R.2S,Adaptada,Zona 1
248,Europa | Fira,LLOBREGAT-ANOIA,41.3565642834982 / 2.12418782222239,,Adaptada,Zona 1
203,Ildefons Cerda,LLOBREGAT-ANOIA,41.3609173215604 / 2.13005628253596,,Adaptada,Zona 1
234,Vallvidrera-Superior,FUNICULAR DE VALLVIDRERA,41.414160756244 / 2.10578701391648,,Adaptada,Zona 1
235,Carretera de les Aigües,FUNICULAR DE VALLVIDRERA,41.4123215751654 / 2.10795728561831,,Adaptada,Zona 1
158,Les Tres Torres,BARCELONA-VALLÈS,41.3977942519956 / 2.13086320869379,,Adaptada,Zona 1
156,Reina Elisenda,BARCELONA-VALLÈS,41.3987543223672 / 2.1189585715207,,Adaptada,Zona 1
160,Peu del Funicular,BARCELONA-VALLÈS,41.4093322728303 / 2.1111068070849,FUNICULAR DE VALLVIDRERA,Projecte,Zona 1
236,Vallvidrera-Inferior,FUNICULAR DE VALLVIDRERA,41.4093430084479 / 2.11126888592507,S1-S2-S5-S55,Adaptada,Zona 1
157,Sarria,BARCELONA-VALLÈS,41.3985221563655 / 2.12560921355958,,Projecte,Zona 1
201,Magoria-La Campana,LLOBREGAT-ANOIA,41.3675199400012 / 2.13889245741581,,Adaptada,Zona 1
202,Barcelona-Pl.Espanya,LLOBREGAT-ANOIA,41.374313272974 / 2.14792033291174,L1-L3,Adaptada,Zona 1
271,Barcelona-Port,MERCADERIES,41.354703149168 / 2.16360908652581,,,
223,Núria,CREMALLERA DE NÚRIA,42.3973493041781 / 2.15485523547009,TELECABINA DE LA COMA DEL CLOT,Adaptada,No integrat
159,La Bonanova,BARCELONA-VALLÈS,41.3978065083239 / 2.13646250100671,,Adaptada,Zona 1
152,Provenca,BARCELONA-VALLÈS,41.3928984712324 / 2.15794344381402,L3-L5,Adaptada,Zona 1
147,El Putxet,BARCELONA-VALLÈS,41.4058544776957 / 2.13913247538163,,Projecte,Zona 1
149,Muntaner,BARCELONA-VALLÈS,41.3985635655534 / 2.14247396384842,,Adaptada,Zona 1
