ID,Name,Line,Lat/Lon,Connections,Accessibility,Zone
433,Cornellà Centre,L5,41.357315951168 / 2.07044325855937,T1-T2-T3-R.1-R4,Adaptada,Zona 1
432,Gavarra,L5,41.3580221811863 / 2.07929676467967,,Adaptada,Zona 1
431,Sant Ildefons,L5,41.3634004007812 / 2.08440567589003,,Adaptada,Zona 1
430,Can Boixeres,L5,41.3665946412198 / 2.09152995763886,,Adaptada,Zona 1
318,Hospital de Bellvitge,L1,41.3447089189291 / 2.10726442487254,,Adaptada,Zona 1
319,Bellvitge,L1,41.351002103227 / 2.11093265881712,,Adaptada,Zona 1
320,Av.Carrilet,L1,41.3585530196421 / 2.10266580260399,L8-S33-S4-S8-R5-R6,Adaptada,Zona 1
321,Rbla. Just Oliveres,L1,41.3641197960023 / 2.09977453332527,R.1-R3-R4-R7-R12,Projecte,Zona 1
322,Can Serra,L1,41.3677230761094 / 2.10277664046037,,Adaptada,Zona 1
429,Can Vidalet,L5,41.3711699811588 / 2.09936987151888,,Adaptada,Zona 1
323,Florida,L1,41.3683454383485 / 2.11001897049028,,Adaptada,Zona 1
428,Pubilla Cases,L5,41.3738678305867 / 2.10722761135461,,Adaptada,Zona 1
383,Zona Universitària,L3,41.3841404077719 / 2.11116587365903,T1-T2-T3,Construcció,Zona 1
324,Torrassa,L1,41.3684250526322 / 2.11662439227314,,Adaptada,Zona 1
325,Santa Eulàlia,L1,41.3688492313307 / 2.12864100990867,,Adaptada,Zona 1
427,Collblanc,L5,41.3757732657525 / 2.11924135425625,,Construcció,Zona 1
382,Palau Reial,L3,41.3860211631295 / 2.11859030534594,T1-T2-T3,Adaptada,Zona 1
426,Badal,L5,41.3756059321753 / 2.12744302393462,,Adaptada,Zona 1
326,Mercat Nou,L1,41.3733346013228 / 2.13381942920113,,Adaptada,Zona 1
425,Plaça de Sants,L5,41.3757560588641 / 2.13518270144983,L1,Projecte,Zona 1
381,Les Corts,L3,41.3841243011195 / 2.13089948651418,,Adaptada,Zona 1
384,Maria Cristina,L3,41.3878658876322 / 2.12588078854278,T1-T2-T3,Adaptada,Zona 1
327,Plaça de Sants,L1,41.3753819450694 / 2.13817096385347,L5,Projecte,Zona 1
424,Sants Estació,L5,41.3799913070601 / 2.14043733691486,L3-R.1-R2-R.2N-R.2S-R3-R4-R7-R11-R12-R13-R14-R15-R16-ESTACIO_BUS,Adaptada,Zona 1
328,Hostafrancs,L1,41.3752823216963 / 2.14331481108942,,Adaptada,Zona 1
378,Tarragona,L3,41.3785431899842 / 2.14532511165999,,Adaptada,Zona 1
380,Plaça del Centre,L3,41.3819459953545 / 2.1358749331136,,Adaptada,Zona 1
379,Sants Estació,L3,41.381613567591 / 2.14102524477169,L5-R.1-R2-R.2N-R.2S-R3-R4-R7-R11-R12-R13-R14-R15-R16-ESTACIO_BUS,Adaptada,Zona 1
423,Entença,L5,41.3844941751042 / 2.14563915079201,,Adaptada,Zona 1
329,Espanya,L1,41.375541990375 / 2.14940637505904,L3-L8-S33-S4-S8-R5-R6,Projecte,Zona 1
377,Espanya,L3,41.3750503515188 / 2.15160812165603,L1-L8-S33-S4-S8-R5-R6,Projecte,Zona 1
330,Rocafort,L1,41.379268210643 / 2.15458880966092,,Adaptada,Zona 1
422,Hospital Clínic,L5,41.3886531870785 / 2.15112142588565,,Adaptada,Zona 1
370,Fontana,L3,41.4020175545979 / 2.15305426943399,,Adaptada,Zona 1
444,Pl. del Funicular,TRAMVIA BLAU,41.4161153058916 / 2.13136330452675,FUNICULAR DEL TIBIDABO,,Zona 1
443,Av.Tibidabo,TRAMVIA BLAU,41.4105436445046 / 2.13683208546366,L7,,Zona 1
368,Vallcarca,L3,41.4120164709601 / 2.14432244155947,,Projecte,Zona 1
369,Lesseps,L3,41.4057005854403 / 2.15048581458015,,Adaptada,Zona 1
367,Penitents,L3,41.4183305594342 / 2.14098280337625,,Adaptada,Zona 1
470,Vall d'Hebrón,L5,41.4250234333411 / 2.14243461427776,L3,Adaptada,Zona 1
366,Vall d'Hebrón,L3,41.4252970069324 / 2.14256930175703,L5,Adaptada,Zona 1
365,Montbau,L3,41.4306544208465 / 2.14505193131497,,Adaptada,Zona 1
469,El Coll | La Teixonera,L5,41.4220245616754 / 2.14837108073817,,Adaptada,Zona 1
468,El Carmel,L5,41.4244436630274 / 2.15511937953302,,Adaptada,Zona 1
385,Mundet,L3,41.4357688982928 / 2.14859090896243,,Adaptada,Zona 1
386,Valldaura,L3,41.4380515005838 / 2.15693039004997,,Adaptada,Zona 1
445,Castell,TELEFÈRIC DE MONTJUÏC,41.3642112354164 / 2.16595920980662,,Adaptada,Zona 1
440,Parc Montjuic,FUNICULAR DE MONTJUÏC,41.3689996924178 / 2.16331401219507,TELEFÈRIC DE MONTJUÏC,Adaptada,Zona 1
441,Parc Montjuic,TELEFÈRIC DE MONTJUÏC,41.3687670977236 / 2.16354697425813,FUNICULAR DE MONTJUÏC,Adaptada,Zona 1
442,Mirador,TELEFÈRIC DE MONTJUÏC,41.3674656595589 / 2.16803130297931,,Adaptada,Zona 1
376,Poble Sec,L3,41.3750274796757 / 2.16027150654591,,Projecte,Zona 1
349,Sant Antoni,L2,41.3798587329518 / 2.1632887586535,,Adaptada,Zona 1
439,Paral.lel,FUNICULAR DE MONTJUÏC,41.3738732059181 / 2.16884010115338,L2-L3,Adaptada,Zona 1
331,Urgell,L1,41.3825190435109 / 2.15891098529247,,Adaptada,Zona 1
350,Universitat,L2,41.3847201846007 / 2.16392260234239,L1,Adaptada,Zona 1
332,Universitat,L1,41.3858268159287 / 2.16429773978502,L2,Adaptada,Zona 1
375,Paral.lel,L3,41.3749237466418 / 2.16913130219717,L2-FUNI_MONTJUIC,Adaptada,Zona 1
348,Paral.lel,L2,41.375039139559 / 2.16913024692333,L3-FUNI_MONTJUIC,Adaptada,Zona 1
374,Drassanes,L3,41.3765658912591 / 2.17567091764783,PORT,Adaptada,Zona 1
373,Liceu,L3,41.3814661024195 / 2.1730492173041,,Adaptada,Zona 1
372,Catalunya,L3,41.3863398586716 / 2.17010507438732,L1-L6-L7-S1-S2-S5-S55-R.1-R3-R4-R7-R12,Adaptada,Zona 1
333,Catalunya,L1,41.3875748996741 / 2.16917178913172,L3-L6-L7-S1-S2-S5-S55-R.1-R3-R4-R7-R12,Adaptada,Zona 1
399,Jaume I,L4,41.3841228723178 / 2.17858081953018,,Projecte,Zona 1
421,Diagonal,L5,41.3944632613854 / 2.15884813430305,L3-L6-L7-S1-S2-S5-S55,Adaptada,Zona 1
351,Passeig de Gràcia,L2,41.3894163760186 / 2.16823683974007,L3-L4-R2-R.2N-R.2S-R11-R13-R14-R15-R16,Adaptada,Zona 1
401,Passeig de Gràcia,L4,41.3900737321142 / 2.16786323763842,L2-L3-R2-R.2N-R.2S-R11-R13-R14-R15-R16,Adaptada,Zona 1
371,Passeig de Gràcia,L3,41.3916130953018 / 2.16538461758049,L2-L4-R2-R.2N-R.2S-R11-R13-R14-R15-R16,Construcció,Zona 1
388,Diagonal,L3,41.3959157261745 / 2.16007069012956,L5-L6-L7-S1-S2-S5-S55,Adaptada,Zona 1
420,Verdaguer,L5,41.3989796695232 / 2.16710780784334,L4,Projecte,Zona 1
403,Verdaguer,L4,41.4003552658023 / 2.16811691027426,L5,Projecte,Zona 1
400,Urquinaona,L4,41.3879871698261 / 2.17345868287655,L1,Projecte,Zona 1
402,Girona,L4,41.3949667171971 / 2.1708457952076,,Adaptada,Zona 1
334,Urquinaona,L1,41.3896771578975 / 2.17458027903158,L4,Projecte,Zona 1
352,Tetuan,L2,41.3948996769105 / 2.17553562920688,,Adaptada,Zona 1
353,Monumental,L2,41.4004929554527 / 2.17952263230581,,Adaptada,Zona 1
398,Barceloneta,L4,41.3818891152973 / 2.18489341522917,,Adaptada,Zona 1
397,Ciutadella Vila Olímpica,L4,41.3867239899615 / 2.19300720217757,T4-T5-T6,Projecte,Zona 1
335,Arc de Triomf,L1,41.3923576815825 / 2.18114567601345,ESTACIO_BUS-R.1-R3-R4-R7-R12,Adaptada,Zona 1
336,Marina,L1,41.3947589060179 / 2.18581564614182,T4-T5-T6,Adaptada,Zona 1
337,Glòries,L1,41.4023637999479 / 2.18756003700547,T4-T5-T6,Adaptada,Zona 1
396,Bogatell,L4,41.3951337619307 / 2.19201295462194,,Construcció,Zona 1
395,Llacuna,L4,41.3994321319653 / 2.19769012625739,,Construcció,Zona 1
404,Joanic,L4,41.4064269836309 / 2.16322187660929,,Adaptada,Zona 1
405,Alfons X,L4,41.4124274518153 / 2.16643944352259,,Adaptada,Zona 1
419,Sagrada Família,L5,41.4038636505993 / 2.17363608763723,L2,Adaptada,Zona 1
354,Sagrada Família,L2,41.4039969134632 / 2.17514745470531,L5,Adaptada,Zona 1
418,Sant Pau | Dos de Maig,L5,41.4107778970515 / 2.17602987207361,,Adaptada,Zona 1
406,Guinardó | Hospital de Sant Pau,L4,41.4160129419915 / 2.17400701425785,,Adaptada,Zona 1
411,Horta,L5,41.4297175290961 / 2.15997712882721,,Adaptada,Zona 1
412,Vilapicina,L5,41.4304903004493 / 2.16768016845503,,Adaptada,Zona 1
414,Maragall,L5,41.4250735421976 / 2.17650199594126,L4,Projecte,Zona 1
407,Maragall,L4,41.4231194304848 / 2.17740854790596,L5,Projecte,Zona 1
413,Virrei Amat,L5,41.4297305579876 / 2.1749281570428,,Projecte,Zona 1
355,Encants,L2,41.4072864680062 / 2.1827519784438,,Adaptada,Zona 1
338,Clot,L1,41.4101947574477 / 2.18701789252361,L2-R.1-R2-R.2N-R11,Projecte,Zona 1
356,Clot,L2,41.4104525785804 / 2.18693417757973,L1-R.1-R2-R.2N-R11,Adaptada,Zona 1
417,Camp de L'Arpa,L5,41.4150761407851 / 2.18149899491483,,Adaptada,Zona 1
339,Navas,L1,41.4162576633657 / 2.18705891004563,,Adaptada,Zona 1
357,Bac de Roda,L2,41.4151753337543 / 2.19550432669064,,Adaptada,Zona 1
415,Congrés,L5,41.4234671018064 / 2.1811927496259,,Adaptada,Zona 1
467,La Sagrera_V.FelipII,L9|L10,41.4204781342086 / 2.1867684336872,L1-L5,Adaptada,Zona 1
416,La Sagrera,L5,41.4212864581677 / 2.18658395857032,L1-L9-L10,Adaptada,Zona 1
340,La Sagrera,L1,41.4224489394887 / 2.18698698748017,L5-L9-L10,Adaptada,Zona 1
347,Fabra i Puig,L1,41.4296919347651 / 2.18366333165997,ESTACIO_BUS-R3-R4-R7-R12,Adaptada,Zona 1
358,Sant Martí,L2,41.4191123676228 / 2.20077638100069,,Adaptada,Zona 1
465,Onze de Setembre,L9|L10,41.4296818388319 / 2.19362332503268,,Adaptada,Zona 1
387,Canyelles,L3,41.4417702469479 / 2.16633743592508,,Adaptada,Zona 1
408,Llucmajor,L4,41.4370677708048 / 2.17341123988904,,Adaptada,Zona 1
409,Via Júlia,L4,41.443872126503 / 2.1786024624582,,Adaptada,Zona 1
446,Roquetes,L3,41.4476983787111 / 2.17610978451663,,Adaptada,Zona 1
434,Can Cuiàs,L11,41.4624102882077 / 2.17305678567444,,Adaptada,Zona 1
435,Ciutat Meridiana,L11,41.4608382477217 / 2.17466301080431,,Adaptada,Zona 1
346,Sant Andreu,L1,41.4366600602109 / 2.19120189357876,,Adaptada,Zona 1
341,Torres i Bages,L1,41.4432435844691 / 2.19071074785519,,Adaptada,Zona 1
438,Trinitat Nova,L11,41.4492023892058 / 2.18242313470227,L3-L4,Adaptada,Zona 1
410,Trinitat Nova,L4,41.4492032471838 / 2.18241629083912,L3-L11,Adaptada,Zona 1
447,Trinitat Nova,L3,41.4495315866864 / 2.18411257661403,L4-L11,Adaptada,Zona 1
437,Casa de L'Aigua,L11,41.4513374981639 / 2.18495526862417,,Adaptada,Zona 1
436,Torre Baró | Vallbona,L11,41.4592282423821 / 2.17994975426971,R3-R4-R7-R12,Adaptada,Zona 1
342,Trinitat Vella,L1,41.4490032874062 / 2.19388362741804,,Adaptada,Zona 1
