,id,district,population,E0,E1,E2,E3,E4,nc
0,1, Ciutat Vella  ,88765,3172,25513,17439,17464,25154,23
1,2, Eixample  ,233092,7003,32828,39062,61804,92334,61
2,3, Sants-Montjuïc  ,158673,7237,40155,36499,37915,36810,57
3,4, Les Corts  ,70910,2197,9199,11187,19593,28706,28
4,5, Sarrià-Sant Gervasi  ,122583,2824,9425,14510,35034,60757,33
5,6, Gràcia  ,105440,3393,14939,17770,27256,42057,25
6,7, Horta-Guinardó  ,145417,8437,32730,35023,37050,32119,58
7,8, Nou Barris  ,142396,10392,43447,40184,30677,17658,38
8,9, Sant Andreu  ,126222,5915,29978,31796,32777,25728,28
9,10, Sant Martí  ,200448,10083,45755,47174,49115,48262,59
