,district,id,neighborhood,population,RFD index  barcelona = 100
0,1,1, el Raval,47617,75.83265330173725
1,1,2, el Barri Gòtic,15269,108.54196000974969
2,1,3, la Barceloneta,15036,76.5587021979904
3,1,4," Sant Pere, Santa Caterina i la Ribera",22305,96.36108549166667
4,2,5, el Fort Pienc,31645,104.81599743850074
5,2,6, la Sagrada Família,51347,95.77229724318454
6,2,7, la Dreta de l'Eixample,43344,165.76124954979855
7,2,8, l'Antiga Esquerra de l'Eixample,41696,128.91772197322086
8,2,9, la Nova Esquerra de l'Eixample,57711,103.80056124622809
9,2,10, Sant Antoni,38248,98.64045775728313
10,3,11, el Poble Sec - AEI Parc de Montjuïc,40217,74.33742517068823
11,3,12, la Marina del Prat Vermell - AEI Zona Franca,1145,36.944694084038716
12,3,13, la Marina de Port,30374,70.37218374675285
13,3,14, la Font de la Guatlla,10355,83.22737557111361
14,3,15, Hostafrancs,15812,82.19773729996436
15,3,16, la Bordeta,18430,74.2661523090415
16,3,17, Sants - Badal,24085,77.02762267811954
17,3,18, Sants,40889,88.18070492649838
18,4,19, les Corts,46086,124.45724437978485
19,4,20, la Maternitat i Sant Ramon,23845,109.88149289974322
20,4,21, Pedralbes,11763,250.45592004889144
21,5,22," Vallvidrera, el Tibidabo i les Planes",4635,151.68435751113554
22,5,23, Sarrià,24614,199.0731844196219
23,5,24, les Tres Torres,16624,214.080276141486
24,5,25, Sant Gervasi - la Bonanova,25511,188.91816313504657
25,5,26, Sant Gervasi - Galvany,46968,205.05530112501447
26,5,27, el Putxet i el Farró,29149,141.0184346057445
27,6,28, Vallcarca i els Penitents,15508,111.16626156430924
28,6,29, el Coll,7324,88.95899518833426
29,6,30, la Salut,13213,114.42290950172632
30,6,31, la Vila de Gràcia,50584,106.2693718976974
31,6,32, el Camp d'en Grassot i Gràcia Nova,34047,103.04081113562214
32,7,33, el Baix Guinardó,25476,90.41862540435787
33,7,34, Can Baró,8938,88.09079268490609
34,7,35, el Guinardó,36073,82.71370060485125
35,7,36, la Font d'en Fargues,9443,95.17309465798706
36,7,37, el Carmel,31498,56.89704594534854
37,7,38, la Teixonera,11322,74.4731479287355
38,7,39, Sant Genís dels Agudells,6693,93.50579879233865
39,7,40, Montbau,5070,72.28333223257425
40,7,41, la Vall d'Hebron,5613,92.55203683945801
41,7,42, la Clota,568,89.26070738954118
42,7,43, Horta,26624,80.91726496691943
43,8,44, Vilapicina i la Torre Llobeta,25499,64.97482975623635
44,8,45, Porta,24536,61.42564228278133
45,8,46, el Turó de la Peira,15420,48.839527608807735
46,8,47, Can Peguera,2267,51.05386597822334
47,8,48, la Guineueta,15074,55.85041175618682
48,8,49, Canyelles,6946,55.61873793140555
49,8,50, les Roquetes,15523,47.830798580170864
50,8,51, Verdun,12258,55.36230778262757
51,8,52, la Prosperitat,26184,54.0476908434248
52,8,53, la Trinitat Nova,7362,35.645908931673716
53,8,54, Torre Baró,2828,47.06984439497173
54,8,55, Ciutat Meridiana,10156,34.49994490932145
55,8,56, Vallbona,1351,37.836139247750445
56,9,57, la Trinitat Vella,10210,43.08850300819323
57,9,58, Baró de Viver,2482,60.158977851926494
58,9,59, el Bon Pastor,12655,57.96549204233611
59,9,60, Sant Andreu,56682,75.59907239739961
60,9,61, la Sagrera,29020,76.80495624577793
61,9,62, el Congrés i els Indians,14148,70.1029072390601
62,9,63, Navas,22110,85.82304192164472
63,10,64, el Camp de l'Arpa del Clot,38202,78.70100148930081
64,10,65, el Clot,27013,84.67078859613082
65,10,66, el Parc i la Llacuna del Poblenou,14764,96.78349110806873
66,10,67, la Vila Olímpica del Poblenou,9261,150.22302375565238
67,10,68, el Poblenou,33579,95.57727645777608
68,10,69, Diagonal Mar i el Front Marítim del Poblenou,13352,162.50153601416974
69,10,70, el Besòs i el Maresme,23026,54.413710310816974
70,10,71, Provençals del Poblenou,20244,102.75391133342822
71,10,72, Sant Martí de Provençals,26005,68.34608780236164
72,10,73, la Verneda i la Pau,28678,57.46960731295994
