district,id,value
1,1,735
1,2,905.3
1,3,722.8
1,4,895.3
2,5,871.1
2,6,847
2,7,1151.1
2,8,1001.5
2,9,909.1
2,10,877
3,11,715.7
3,12,
3,13,689.2
3,14,806.3
3,15,680.2
3,16,739.3
3,17,697.6
3,18,737.3
4,19,936.3
4,20,896.4
4,21,1856.6
5,22,1248
5,23,1291.5
5,24,1516.5
5,25,1182.1
5,26,1268.6
5,27,913.5
6,28,946.6
6,29,687.4
6,30,841.4
6,31,837.1
6,32,839.3
7,33,743.9
7,34,637.3
7,35,722.7
7,36,812.9
7,37,597.1
7,38,663.9
7,39,622.3
7,40,716.4
7,41,816.1
7,42,
7,43,669.9
8,44,687.4
8,45,654.6
8,46,587
8,47,
8,48,634.5
8,49,689.6
8,50,504.3
8,51,595.5
8,52,624.6
8,53,540.7
8,54,418.1
8,55,459.2
8,56,
9,57,497.8
9,58,
9,59,622.8
9,60,708.6
9,61,575.2
9,62,696
9,63,716.8
10,64,756.6
10,65,775
10,66,850.7
10,67,1108.4
10,68,868.9
10,69,1148.2
10,70,588.9
10,71,999.6
10,72,742.1
10,73,677.9
