district,id,value,mean-price(€),mean-size(m^2),mean-price-size(€/m^2)
1,1,1283.7,1283.7,69.637,19.614
1,2,1816.102,1816.102,89.355,21.05
1,3,1181.456,1181.456,50.228,24.215
1,4,1181.456,1181.456,50.228,24.215
2,5,1668.226,1668.226,95.247,18.86
2,6,1421.754,1421.754,77.453,19.51
2,7,2374.306,2374.306,113.375,22.37
2,8,1802.48,1802.48,94.453,20.651
2,9,1521.596,1521.596,89.634,17.823
2,10,1521.596,1521.596,89.634,17.823
3,11,1224.469,1224.469,68.161,18.594
3,12,950,950,90,10.556
3,13,977.794,977.794,75.059,13.196
3,14,1378.545,1378.545,81.409,16.895
3,15,1148.978,1148.978,70.239,16.791
3,16,1189.375,1189.375,74.275,16.79
3,17,1069.026,1069.026,68.065,16.657
3,18,1182.161,1182.161,73.161,17.093
4,19,1808.117,1808.117,106.269,17.658
4,20,1496.073,1496.073,109.082,14.217
4,21,4559.308,4559.308,236.776,19.005
5,22,3745.6,3745.6,283.48,13.367
5,23,2445.137,2445.137,134.056,20.306
5,24,2968.889,2968.889,160.235,19.051
5,25,3154.954,3154.954,184.908,18.384
5,26,2749.114,2749.114,144.198,19.27
5,27,1506.086,1506.086,93.889,16.794
6,28,1830.392,1830.392,119.371,16.728
6,29,1241.5,1241.5,95,13.877
6,30,1508.111,1508.111,103.978,15.62
6,31,1716.687,1716.687,92.143,20.471
6,32,1357.33,1357.33,86.193,17.186
7,33,1158.488,1158.488,81.465,15.109
7,34,1255.862,1255.862,85.069,15.714
7,35,1189.032,1189.032,88.419,14.652
7,36,1412.714,1412.714,137.171,12.436
7,37,976.316,976.316,75.263,13.748
7,38,875.217,875.217,83.609,11.408
7,39,1550.75,1550.75,111.5,13.091
7,40,1550.75,1550.75,111.5,13.091
7,41,1023.529,1023.529,84,12.442
7,42,1023.529,1023.529,84,12.442
7,43,1056.304,1056.304,86.609,12.732
8,44,926.765,926.765,75.608,12.614
8,45,1011.111,1011.111,81.556,12.523
8,46,897.812,897.812,66.375,14.161
8,47,897.812,897.812,66.375,14.161
8,48,907.857,907.857,82.5,11.252
8,49,811.538,811.538,58.692,15.269
8,50,811.538,811.538,58.692,15.269
8,51,958.75,958.75,78.333,14.134
8,52,817.273,817.273,66,12.449
8,53,687.5,687.5,55.5,12.449
8,54,1036.429,1036.429,106.571,10.054
8,55,1036.429,1036.429,106.571,10.054
8,56,1036.429,1036.429,106.571,10.054
9,57,863.214,863.214,82.143,11.272
9,58,nan,nan,nan,nan
9,59,921.154,921.154,76.692,13.034
9,60,1634.239,1634.239,82.783,15.035
9,61,1123.784,1123.784,92.216,13.767
9,62,1185,1185,75,15.276
9,63,1210.125,1210.125,86.275,14.631
10,64,1319.745,1319.745,76.314,17.967
10,65,1110.556,1110.556,68,16.679
10,66,1614.222,1614.222,94.937,17.865
10,67,2000,2000,108.514,19.575
10,68,1873.994,1873.994,88.11,21.635
10,69,3405.149,3405.149,120.821,26.717
10,70,1712.5,1712.5,89.9,18.439
10,71,1344.18,1344.18,84.115,16.377
10,72,1390.938,1390.938,93.438,14.616
10,73,915.833,915.833,72.333,13
