district,id,TOTAL,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 I més
1,1,47129,2139,2082,1747,1837,2975,4811,5246,5333,4499,3713,2931,2330,1723,1460,1186,1068,984,660,324,81
1,2,15614,468,405,440,392,1062,2006,1928,1715,1361,1111,971,874,643,537,477,382,366,271,162,43
1,3,15021,457,440,403,462,839,1487,1758,1525,1324,1026,957,796,671,598,569,562,571,372,154,50
1,4,22306,827,742,604,757,1190,2392,2808,2592,2091,1627,1392,1102,859,790,689,585,559,443,194,63
2,5,31653,1257,1251,1160,1181,1492,2256,2713,2863,2512,2093,2138,2085,1824,1776,1447,1112,1185,785,410,113
2,6,51322,1904,1736,1694,1811,2459,3697,4353,4468,3897,3594,3660,3425,3073,2844,2318,1860,2016,1550,766,197
2,7,43644,1843,1807,1653,1707,2103,3118,3565,3708,3510,2983,2951,2817,2524,2252,1936,1429,1510,1279,675,274
2,8,41854,1613,1512,1473,1484,2103,3186,3696,3596,3272,2835,2909,2697,2298,2170,1835,1588,1556,1208,602,221
2,9,57648,2135,2013,1991,2005,2837,4304,4789,4782,4327,3859,3819,3921,3621,3480,2870,2239,2161,1526,760,209
2,10,38184,1480,1277,1228,1309,1735,2631,3393,3568,2967,2804,2667,2354,2073,1993,1769,1582,1505,1135,546,168
3,11,40055,1641,1537,1447,1486,1885,2982,4096,4237,3703,3118,2778,2291,1873,1675,1445,1275,1277,847,369,93
3,12,1143,51,41,57,41,71,79,107,75,72,97,93,80,59,45,42,31,59,33,10,0
3,13,30385,1272,1431,1512,1481,1622,1753,1933,2266,2536,2464,2404,2103,1606,1497,1278,1171,1169,630,213,44
3,14,10302,340,364,372,399,486,761,854,870,814,740,727,635,655,631,479,383,369,259,127,37
3,15,15889,644,558,536,537,757,1247,1599,1473,1331,1125,1014,1069,938,838,690,492,494,361,141,45
3,16,18512,755,708,710,689,844,1192,1393,1401,1388,1326,1365,1418,1202,1104,846,745,729,449,200,48
3,17,23906,866,865,833,891,1199,1637,1937,1975,1850,1578,1695,1784,1530,1464,1153,840,906,611,237,55
3,18,40785,1659,1489,1446,1479,1849,2850,3558,3598,3272,2942,2859,2688,2326,2145,1850,1530,1552,1095,479,119
4,19,45932,1897,1881,1677,1785,2121,2850,3074,3353,3293,2943,3060,3199,3148,3276,2701,1993,1728,1208,571,174
4,20,23848,1017,901,931,887,1122,1554,1670,1783,1705,1434,1508,1563,1654,1659,1511,1047,942,607,270,83
4,21,11862,486,676,700,662,612,618,621,669,916,818,790,705,677,716,643,509,492,345,156,51
5,22,4632,276,295,310,262,204,218,260,344,414,402,378,347,224,186,169,123,101,66,40,13
