ID,Name,Line,Lat/Lon,Operator,Type,Zone
216,Ulldecona-Alcanar-La Sènia,R16,40.5958608323863 / 0.449509090610943,RENFE,REGIONALS,
215,Tortosa,R16,40.8071840875766 / 0.522786433876677,RENFE,REGIONALS,
214,Camp-redó,R16,40.7590269187727 / 0.556463577981504,RENFE,REGIONALS,
213,L'Aldea-Amposta,R16,40.7537372646208 / 0.614209535774528,RENFE,REGIONALS,
211,Camarles-Deltebre,R16,40.7751518042299 / 0.671158009592543,RENFE,REGIONALS,
212,L'Ampolla-Perelló-Deltebre,R16,40.8121075583674 / 0.708625792133952,RENFE,REGIONALS,
210,L'Ametlla de Mar,R16,40.8863485439212 / 0.800863850578691,RENFE,REGIONALS,
209,L'Hospitalet de l'Infant,R16,40.9959991362972 / 0.920691759813987,RENFE,REGIONALS,
208,Mont-roig del Camp,R16,41.0448814724457 / 0.990822798035191,RENFE,REGIONALS,
205,Riba-roja d'Ebre,R15,41.2486583699538 / 0.480955059648806,RENFE,REGIONALS,
202,Móra la Nova,R15,41.1066384372949 / 0.65349445284786,RENFE,REGIONALS,
204,Ascó,R15,41.1824114886272 / 0.569260862045662,RENFE,REGIONALS,
203,Flix,R15,41.2295871820237 / 0.540147539738944,RENFE,REGIONALS,
200,Els Guiamets,R15,41.0960902388075 / 0.747847137844178,RENFE,REGIONALS,
197,Capçanes,R15,41.102134105327 / 0.780381395380723,RENFE,REGIONALS,
198,Marçà-Falset,R15,41.13111098137 / 0.810430951169658,RENFE,REGIONALS,
195,Pradell,R15,41.1331553453695 / 0.858626639758919,RENFE,REGIONALS,
193,Duesaigües-L'Argentera,R15,41.1437105062059 / 0.920784840964259,RENFE,REGIONALS,
207,Cambrils,R16,41.0692624669413 / 1.05324647358626,RENFE,REGIONALS,
189,Riudecanyes-Botarell,R15,41.1402184411059 / 0.975701111905452,RENFE,REGIONALS,
185,Les Borges del Camp,R15,41.1662958460529 / 1.02227442035645,RENFE,REGIONALS,
184,Vimbodí,R13-R14,41.4028624703072 / 1.04606072913353,RENFE,REGIONALS,
191,Les Borges Blanques,R13-R14,41.5215439027801 / 0.878042350524173,RENFE,REGIONALS,
192,La Floresta,R13-R14,41.5041222550842 / 0.924341661167574,RENFE,REGIONALS,
188,Vinaixa,R13-R14,41.4251654922145 / 0.970205672767146,RENFE,REGIONALS,
181,Salou,R16,41.0773623085643 / 1.12932041596742,RENFE,REGIONALS,
180,Reus,R14-R15,41.1605969580634 / 1.09981019960749,RENFE,REGIONALS,
182,Port Aventura,R16,41.0884114266531 / 1.14583526068707,RENFE,REGIONALS,
177,Vila-seca,R14-R15,41.1128217936098 / 1.15086827437461,RENFE,REGIONALS,
175,La Selva del Camp,R14,41.2112283881522 / 1.14404085311555,RENFE,REGIONALS,
170,Alcover,R14,41.2615338367428 / 1.17427741491404,RENFE,REGIONALS,
169,Tarragona,R14-R15-R16,41.111341772998 / 1.2534864317056,RENFE,REGIONALS,
163,Altafulla-Tamarit,R14-R15-R16,41.1366080197548 / 1.3736230177147,RENFE,REGIONALS,
245,Camp de Tarragona,TGV,41.192979698979 / 1.26661792535492,RENFE,TGV,No integrat
168,Valls,R13,41.2896831055471 / 1.25902021185889,RENFE,REGIONALS,
165,Nulles-Bràfim,R13,41.2502720783652 / 1.2974370315368,RENFE,REGIONALS,
166,Vilabella,R13,41.2394768723204 / 1.31743461353164,RENFE,REGIONALS,
162,Salomó,R13,41.2234633026746 / 1.37649260617596,RENFE,REGIONALS,
179,L'Espluga de Francolí,R13-R14,41.4005082439456 / 1.10326411545646,RENFE,REGIONALS,
172,Vilaverd,R13-R14,41.3376451510852 / 1.17638551013583,RENFE,REGIONALS,
171,La Plana-Picamoixons,R13-R14,41.3061167615767 / 1.19497704050438,RENFE,REGIONALS,
173,La Riba,R13-R14,41.3183990031412 / 1.18145508739028,RENFE,REGIONALS,
176,Montblanc,R13-R14,41.3764893162264 / 1.16592136279386,RENFE,REGIONALS,
164,Torredembarra,R14-R15-R16,41.1427279241491 / 1.40563993004333,RENFE,REGIONALS,
160,Roda de Barà,R13,41.1838575400317 / 1.44015682640927,RENFE,REGIONALS,
161,Roda de Mar,R13,41.1864030626648 / 1.4552170390984,RENFE,REGIONALS,
158,St.Vicenç de Calders,R.2S-R4-R13-R14-R15-R16,41.1861015010196 / 1.5261200599798,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 6
155,Calafell,R.2S-R13-R14,41.1894878480102 / 1.57507609628637,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
154,El Vendrell,R4,41.2209692474556 / 1.53810356814196,RENFE,RODALIES DE CATALUNYA,Zona 6
151,Segur de Calafell,R.2S-R13-R14,41.1924316246446 / 1.60639616252028,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
152,Cunit,R.2S-R13-R14,41.1948229103805 / 1.63186678561585,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
150,L'Arboç,R4,41.2739075704007 / 1.60077431008327,RENFE,RODALIES DE CATALUNYA,Zona 6
148,Cubelles,R.2S-R13-R14,41.2040964615357 / 1.67572028336313,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
144,Vilanova i la Geltrú,R.2S-R13-R14-R15-R16,41.2201162907788 / 1.73234718648716,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 4
146,Els Monjos,R4,41.3145934553543 / 1.66019560008191,RENFE,RODALIES DE CATALUNYA,Zona 5
147,Vilafranca del Penedès,R4,41.3447755935616 / 1.70355768548077,RENFE,RODALIES DE CATALUNYA,Zona 5
142,La Granada,R4,41.3705005020672 / 1.72496778423192,RENFE,RODALIES DE CATALUNYA,Zona 5
246,Lleida Pirineus,TGV,41.6218268408666 / 0.631775269148589,RENFE,TGV,No integrat
201,Lleida Pirineus,R12-R13-R14,41.6206570265921 / 0.633413111246983,RENFE,REGIONALS,
199,Puigverd de Lleida-Artesa de Lleida,R13-R14,41.5538492419758 / 0.733454320270499,RENFE,REGIONALS,
194,Juneda,R13-R14,41.5438778328023 / 0.825380624786703,RENFE,REGIONALS,
196,Bell-lloc d'Urgell,R12,41.6318088888624 / 0.781589597892818,RENFE,REGIONALS,
190,Mollerussa,R12,41.6319590494676 / 0.896910440095123,RENFE,REGIONALS,
187,Golmés,R12,41.636000001328 / 0.930826037274185,RENFE,REGIONALS,
186,Castellnou de Seana,R12,41.6372887856884 / 0.967751297079654,RENFE,REGIONALS,
183,Bellpuig,R12,41.6327171709591 / 1.0129757733692,RENFE,REGIONALS,
20,Portbou,R11,42.4247888201809 / 3.15809450777194,RENFE,REGIONALS,
178,Anglesola,R12,41.6463151428855 / 1.07900531462099,RENFE,REGIONALS,
174,Tarrega,R12,41.650171528897 / 1.13853542824154,RENFE,REGIONALS,
167,Cervera,R12,41.6737745176342 / 1.27472699032389,RENFE,REGIONALS,
159,Sant Guim de Freixenet,R12,41.6558219378101 / 1.42071649550986,RENFE,REGIONALS,
157,Sant Martí de Sesgueioles,R12,41.7013703545359 / 1.48622662698464,RENFE,REGIONALS,
156,Calaf,R12,41.7301618803181 / 1.51524778942922,RENFE,REGIONALS,
153,Seguers-St.Pere Sallavinera,R12,41.7479531753561 / 1.57414493152705,RENFE,REGIONALS,
149,Aguilar de Segarra,R12,41.7387072642281 / 1.62372531225513,RENFE,REGIONALS,
145,Rajadell,R12,41.7323200859036 / 1.69855167283946,RENFE,REGIONALS,
242,La Tor de Querol,R3,42.4580460186811 / 1.90591334160325,RENFE,REGIONALS,
141,Sitges,R.2S-R13-R14,41.2393559475563 / 1.80888494564787,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 4
135,Garraf,R.2S,41.2542197362122 / 1.90236184775386,RENFE,RODALIES DE CATALUNYA,Zona 3
130,Platja de Castelldefels,R.2S,41.2670522569009 / 1.95684451043137,RENFE,RODALIES DE CATALUNYA,Zona 2
131,Castelldefels,R2-R.2S-R13-R14,41.2787348008295 / 1.97929772549261,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
120,Gavà,R2-R.2S-R13-R14,41.3030397336086 / 2.0102813744918,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
121,Viladecans,R2-R.2S,41.309325489716 / 2.0274548124427,RENFE,RODALIES DE CATALUNYA,Zona 1
115,Aeroport,R.2N,41.3040527489309 / 2.07272042328131,RENFE,RODALIES DE CATALUNYA,Zona 1
143,Lavern-Subirats,R4,41.3956620421709 / 1.76774385725018,RENFE,RODALIES DE CATALUNYA,Zona 4
140,St.Sadurní d'Anoia,R4,41.4201564592556 / 1.79390253204358,RENFE,RODALIES DE CATALUNYA,Zona 4
139,Gelida,R4,41.4486378855395 / 1.86537644813493,RENFE,RODALIES DE CATALUNYA,Zona 4
114,El Prat de Llobregat,R2-R.2N-R.2S-R15,41.3312044968392 / 2.09102621935776,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
111,Cornellà,R.1-R4,41.357573052502 / 2.0706809131878,RENFE,RODALIES DE CATALUNYA,Zona 1
112,L'Hospitalet de Llobregat,R.1-R3-R4-R7-R12,41.3645041199393 / 2.10162292918191,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
118,Sant Feliu de Llobregat,R.1-R4,41.383041211783 / 2.04808089444088,RENFE,RODALIES DE CATALUNYA,Zona 1
117,Molins de Rei,R.1-R4,41.4097927352311 / 2.02114371099359,RENFE,RODALIES DE CATALUNYA,Zona 2
119,Sant Joan Despí,R.1-R4,41.3686049379763 / 2.06035905784607,RENFE,RODALIES DE CATALUNYA,Zona 1
134,Martorell,R4-R7,41.479248233448 / 1.92692827822246,RENFE,RODALIES DE CATALUNYA,Zona 3
128,Castellbisbal,R4-R7,41.4731243631951 / 1.96771786895404,RENFE,RODALIES DE CATALUNYA,Zona 3
129,El Papiol,R4,41.4353230510212 / 2.00247477795102,RENFE,RODALIES DE CATALUNYA,Zona 2
217,Rubí,R7,41.4753382452089 / 2.03737649245099,RENFE,RODALIES DE CATALUNYA,Zona 3
218,St.Cugat del Vallès,R7,41.4811805266478 / 2.07971898468127,RENFE,RODALIES DE CATALUNYA,Zona 3
113,Bellvitge,R2-R.2N-R.2S-R15,41.3538317321834 / 2.11537383047955,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
104,Sants,R.1-R2-R.2N-R.2S-R3-R4-R7-R11-R12-R13-R14-R15-R16,41.3790789811861 / 2.14028390325909,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
244,Barcelona Sants,TGV,41.379386439967 / 2.14013939865766,RENFE,TGV,No integrat
103,Passeig de Gràcia,R2-R.2N-R.2S-R11-R13-R14-R15-R16,41.3931751343124 / 2.166165625248,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
102,Plaça Catalunya,R.1-R3-R4-R7-R12,41.3876400605879 / 2.16915268503836,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
100,Estació de França,R.2S-R13-R14-R15-R16,41.3840101323238 / 2.18634117242266,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
101,Arc de Triomf,R.1-R3-R4-R7-R12,41.392400200829 / 2.18118797867871,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
247,Sagrera-Meridiana,R3-R4-R7-R12,41.4230297988054 / 2.18677494420808,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
92,El Clot Aragó,R.1-R2-R.2N-R11,41.4104189272175 / 2.18920138224746,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
82,Sant Adrià del Besòs,R.1,41.4241213971941 / 2.23033279793949,RENFE,RODALIES DE CATALUNYA,Zona 1
99,Sant Andreu Arenal,R3-R4-R7-R12,41.4309957777596 / 2.18310346998386,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
97,Torre del Baró,R3-R4-R7-R12,41.4613256531941 / 2.1807617655833,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
95,Montcada i Reixac-Sta. Maria,R4-R7-R12,41.4812852798189 / 2.16718183538433,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
98,Montcada Bifurcació,R3-R4-R7-R12,41.4708621070226 / 2.18006161216746,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 1
110,Cerdanyola-Universitat,R7,41.4968939792725 / 2.11485022789608,RENFE,RODALIES DE CATALUNYA,Zona 3
107,Barberà del Vallès,R4-R12,41.5135131161478 / 2.11838675826997,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 2
108,Sabadell Sud,R4-R12,41.5282641464543 / 2.10538342500057,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 3
