district,id,#esport,#esport/1000hab,value
01,01,9,0.19096522311103567,0.19096522311103567
01,02,11,0.7044959651594722,0.7044959651594722
01,03,12,0.798881565807869,0.798881565807869
01,04,14,0.6276338204967273,0.6276338204967273
02,05,12,0.37911098474078286,0.37911098474078286
02,06,11,0.21433303456607303,0.21433303456607303
02,07,21,0.4811657959857025,0.4811657959857025
02,08,19,0.4539590003344961,0.4539590003344961
02,09,26,0.4510130446849847,0.4510130446849847
02,10,16,0.4190236748376283,0.4190236748376283
03,11,2,0.04993134440144801,0.04993134440144801
03,12,0,0.0,0.0
03,13,2,0.06582195162086556,0.06582195162086556
03,14,2,0.19413706076490003,0.19413706076490003
03,15,2,0.12587324564163888,0.12587324564163888
03,16,1,0.054019014693171996,0.054019014693171996
03,17,5,0.20915251401321844,0.20915251401321844
03,18,8,0.19615054554370479,0.19615054554370479
04,19,10,0.21771314116520074,0.21771314116520074
04,20,3,0.12579671251257968,0.12579671251257968
04,21,1,0.08430281571404485,0.08430281571404485
05,22,0,0.0,0.0
05,23,4,0.1612968264849389,0.1612968264849389
05,24,0,0.0,0.0
05,25,2,0.07792713812585232,0.07792713812585232
05,26,17,0.36101849688887,0.36101849688887
05,27,4,0.13620266957232363,0.13620266957232363
06,28,2,0.12827913539862743,0.12827913539862743
06,29,0,0.0,0.0
06,30,0,0.0,0.0
06,31,26,0.5139965206389372,0.5139965206389372
06,32,7,0.20447508325056962,0.20447508325056962
07,33,2,0.07828707871765765,0.07828707871765765
07,34,1,0.11154489682097044,0.11154489682097044
07,35,2,0.05534646889528448,0.05534646889528448
07,36,0,0.0,0.0
07,37,3,0.09567852017222134,0.09567852017222134
07,38,0,0.0,0.0
07,39,0,0.0,0.0
07,40,0,0.0,0.0
07,41,0,0.0,0.0
07,42,0,0.0,0.0
07,43,4,0.15071022192080177,0.15071022192080177
08,44,6,0.2352203230359103,0.2352203230359103
08,45,7,0.28549288307027204,0.28549288307027204
08,46,1,0.06508721687060662,0.06508721687060662
08,47,0,0.0,0.0
08,48,0,0.0,0.0
08,49,0,0.0,0.0
08,50,1,0.06494349915573451,0.06494349915573451
08,51,1,0.08156606851549755,0.08156606851549755
08,52,7,0.2675125157641304,0.2675125157641304
08,53,0,0.0,0.0
08,54,0,0.0,0.0
08,55,0,0.0,0.0
08,56,0,0.0,0.0
09,57,0,0.0,0.0
09,58,0,0.0,0.0
09,59,0,0.0,0.0
09,60,12,0.2117036854083235,0.2117036854083235
09,61,3,0.10418113626892624,0.10418113626892624
09,62,1,0.07120478496154942,0.07120478496154942
09,63,3,0.1358695652173913,0.1358695652173913
10,64,3,0.07873189166491706,0.07873189166491706
10,65,5,0.1858874265744665,0.1858874265744665
10,66,8,0.5391562205148942,0.5391562205148942
10,67,4,0.42849491162292447,0.42849491162292447
10,68,13,0.3870660394211874,0.3870660394211874
10,69,2,0.14928715384041202,0.14928715384041202
10,70,1,0.04396377385034731,0.04396377385034731
10,71,0,0.0,0.0
10,72,2,0.07689350249903883,0.07689350249903883
10,73,0,0.0,0.0
