district,id,#poblacio,#poblacio/1000hab,value
01,01,47129,1000.0,1000.0
01,02,15614,1000.0,1000.0
01,03,15021,1000.0,1000.0
01,04,22306,1000.0,1000.0
02,05,31653,1000.0,1000.0
02,06,51322,1000.0,1000.0
02,07,43644,1000.0,1000.0
02,08,41854,1000.0,1000.0
02,09,57648,1000.0,1000.0
02,10,38184,1000.0,1000.0
03,11,40055,1000.0,1000.0
03,12,1143,1000.0,1000.0
03,13,30385,1000.0,1000.0
03,14,10302,1000.0,1000.0
03,15,15889,1000.0,1000.0
03,16,18512,1000.0,1000.0
03,17,23906,1000.0,1000.0
03,18,40785,1000.0,1000.0
04,19,45932,1000.0,1000.0
04,20,23848,1000.0,1000.0
04,21,11862,1000.0,1000.0
05,22,4632,1000.0,1000.0
05,23,24799,1000.0,1000.0
05,24,16473,1000.0,1000.0
05,25,25665,1000.0,1000.0
05,26,47089,1000.0,1000.0
05,27,29368,1000.0,1000.0
06,28,15591,1000.0,1000.0
06,29,7391,1000.0,1000.0
06,30,13118,1000.0,1000.0
06,31,50584,1000.0,1000.0
06,32,34234,1000.0,1000.0
07,33,25547,1000.0,1000.0
07,34,8965,1000.0,1000.0
07,35,36136,1000.0,1000.0
07,36,9400,1000.0,1000.0
07,37,31355,1000.0,1000.0
07,38,11277,1000.0,1000.0
07,39,6725,1000.0,1000.0
07,40,5053,1000.0,1000.0
07,41,5686,1000.0,1000.0
07,42,583,1000.0,1000.0
07,43,26541,1000.0,1000.0
08,44,25508,1000.0,1000.0
08,45,24519,1000.0,1000.0
08,46,15364,1000.0,1000.0
08,47,2258,1000.0,1000.0
08,48,15043,1000.0,1000.0
08,49,6923,1000.0,1000.0
08,50,15398,1000.0,1000.0
08,51,12260,1000.0,1000.0
08,52,26167,1000.0,1000.0
08,53,7257,1000.0,1000.0
08,54,2791,1000.0,1000.0
08,55,10041,1000.0,1000.0
08,56,1352,1000.0,1000.0
09,57,10032,1000.0,1000.0
09,58,2507,1000.0,1000.0
09,59,12589,1000.0,1000.0
09,60,56683,1000.0,1000.0
09,61,28796,1000.0,1000.0
09,62,14044,1000.0,1000.0
09,63,22080,1000.0,1000.0
10,64,38104,1000.0,1000.0
10,65,26898,1000.0,1000.0
10,66,14838,1000.0,1000.0
10,67,9335,1000.0,1000.0
10,68,33586,1000.0,1000.0
10,69,13397,1000.0,1000.0
10,70,22746,1000.0,1000.0
10,71,20369,1000.0,1000.0
10,72,26010,1000.0,1000.0
10,73,28645,1000.0,1000.0
